"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.847142857142857,0.7,30798
0.01,0.02,0.845714285714286,0.7,30798
0.01,0.03,0.845714285714286,0.7,30798
0.01,0.04,0.845714285714286,0.7,30798
0.01,0.05,0.845714285714286,0.7,30798
0.01,0.06,0.845714285714286,0.7,30798
0.01,0.07,0.845714285714286,0.7,30798
0.01,0.08,0.845714285714286,0.7,30798
0.01,0.09,0.845714285714286,0.7,30798
0.01,0.1,0.845714285714286,0.7,30798
0.02,0.01,0.81,0.696666666666667,14497
0.02,0.02,0.81,0.696666666666667,14497
0.02,0.03,0.81,0.696666666666667,14497
0.02,0.04,0.81,0.696666666666667,14497
0.02,0.05,0.81,0.696666666666667,14497
0.02,0.06,0.81,0.696666666666667,14497
0.02,0.07,0.81,0.696666666666667,14497
0.02,0.08,0.81,0.696666666666667,14497
0.02,0.09,0.81,0.696666666666667,14497
0.02,0.1,0.81,0.696666666666667,14497
0.03,0.01,0.785714285714286,0.69,8673
0.03,0.02,0.784285714285714,0.69,8673
0.03,0.03,0.785714285714286,0.69,8673
0.03,0.04,0.784285714285714,0.69,8673
0.03,0.05,0.784285714285714,0.69,8673
0.03,0.06,0.784285714285714,0.69,8673
0.03,0.07,0.784285714285714,0.69,8673
0.03,0.08,0.784285714285714,0.69,8673
0.03,0.09,0.785714285714286,0.69,8673
0.03,0.1,0.784285714285714,0.69,8673
0.04,0.01,0.758571428571429,0.693333333333333,5769
0.04,0.02,0.758571428571429,0.693333333333333,5769
0.04,0.03,0.758571428571429,0.693333333333333,5769
0.04,0.04,0.758571428571429,0.693333333333333,5769
0.04,0.05,0.758571428571429,0.693333333333333,5769
0.04,0.06,0.758571428571429,0.693333333333333,5769
0.04,0.07,0.758571428571429,0.693333333333333,5769
0.04,0.08,0.758571428571429,0.693333333333333,5769
0.04,0.09,0.758571428571429,0.693333333333333,5769
0.04,0.1,0.758571428571429,0.693333333333333,5769
0.05,0.01,0.745714285714286,0.7,4119
0.05,0.02,0.747142857142857,0.7,4119
0.05,0.03,0.745714285714286,0.7,4119
0.05,0.04,0.745714285714286,0.7,4119
0.05,0.05,0.745714285714286,0.7,4119
0.05,0.06,0.745714285714286,0.7,4119
0.05,0.07,0.745714285714286,0.7,4119
0.05,0.08,0.745714285714286,0.7,4119
0.05,0.09,0.747142857142857,0.7,4119
0.05,0.1,0.745714285714286,0.7,4119
0.06,0.01,0.737142857142857,0.683333333333333,3072
0.06,0.02,0.737142857142857,0.683333333333333,3072
0.06,0.03,0.737142857142857,0.683333333333333,3072
0.06,0.04,0.737142857142857,0.683333333333333,3072
0.06,0.05,0.737142857142857,0.683333333333333,3072
0.06,0.06,0.737142857142857,0.683333333333333,3072
0.06,0.07,0.737142857142857,0.683333333333333,3072
0.06,0.08,0.737142857142857,0.683333333333333,3072
0.06,0.09,0.737142857142857,0.683333333333333,3072
0.06,0.1,0.737142857142857,0.683333333333333,3072
0.07,0.01,0.732857142857143,0.683333333333333,2344
0.07,0.02,0.732857142857143,0.683333333333333,2344
0.07,0.03,0.735714285714286,0.683333333333333,2344
0.07,0.04,0.731428571428571,0.683333333333333,2344
0.07,0.05,0.732857142857143,0.683333333333333,2344
0.07,0.06,0.732857142857143,0.683333333333333,2344
0.07,0.07,0.732857142857143,0.683333333333333,2344
0.07,0.08,0.735714285714286,0.683333333333333,2344
0.07,0.09,0.732857142857143,0.683333333333333,2344
0.07,0.1,0.732857142857143,0.683333333333333,2344
0.08,0.01,0.727142857142857,0.676666666666667,1887
0.08,0.02,0.727142857142857,0.676666666666667,1887
0.08,0.03,0.727142857142857,0.676666666666667,1887
0.08,0.04,0.727142857142857,0.676666666666667,1887
0.08,0.05,0.727142857142857,0.676666666666667,1887
0.08,0.06,0.727142857142857,0.676666666666667,1887
0.08,0.07,0.727142857142857,0.676666666666667,1887
0.08,0.08,0.727142857142857,0.676666666666667,1887
0.08,0.09,0.727142857142857,0.68,1887
0.08,0.1,0.727142857142857,0.676666666666667,1887
0.09,0.01,0.721428571428571,0.683333333333333,1522
0.09,0.02,0.724285714285714,0.683333333333333,1522
0.09,0.03,0.721428571428571,0.683333333333333,1522
0.09,0.04,0.724285714285714,0.683333333333333,1522
0.09,0.05,0.724285714285714,0.683333333333333,1522
0.09,0.06,0.724285714285714,0.683333333333333,1522
0.09,0.07,0.728571428571429,0.683333333333333,1522
0.09,0.08,0.724285714285714,0.683333333333333,1522
0.09,0.09,0.721428571428571,0.683333333333333,1522
0.09,0.1,0.721428571428571,0.683333333333333,1522
0.1,0.01,0.72,0.676666666666667,1231
0.1,0.02,0.72,0.676666666666667,1231
0.1,0.03,0.721428571428571,0.676666666666667,1231
0.1,0.04,0.72,0.676666666666667,1231
0.1,0.05,0.72,0.676666666666667,1231
0.1,0.06,0.72,0.676666666666667,1231
0.1,0.07,0.721428571428571,0.676666666666667,1231
0.1,0.08,0.718571428571429,0.676666666666667,1231
0.1,0.09,0.72,0.676666666666667,1231
0.1,0.1,0.718571428571429,0.676666666666667,1231
