"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.845714285714286,0.696666666666667,31672
0.01,0.02,0.845714285714286,0.696666666666667,31672
0.01,0.03,0.845714285714286,0.696666666666667,31672
0.01,0.04,0.845714285714286,0.696666666666667,31672
0.01,0.05,0.845714285714286,0.696666666666667,31672
0.01,0.06,0.845714285714286,0.696666666666667,31672
0.01,0.07,0.845714285714286,0.696666666666667,31672
0.01,0.08,0.845714285714286,0.696666666666667,31672
0.01,0.09,0.845714285714286,0.696666666666667,31672
0.01,0.1,0.845714285714286,0.696666666666667,31672
0.02,0.01,0.81,0.703333333333333,15149
0.02,0.02,0.81,0.703333333333333,15149
0.02,0.03,0.81,0.703333333333333,15149
0.02,0.04,0.81,0.703333333333333,15149
0.02,0.05,0.81,0.703333333333333,15149
0.02,0.06,0.81,0.703333333333333,15149
0.02,0.07,0.81,0.703333333333333,15149
0.02,0.08,0.81,0.703333333333333,15149
0.02,0.09,0.81,0.703333333333333,15149
0.02,0.1,0.81,0.703333333333333,15149
0.03,0.01,0.79,0.686666666666667,9059
0.03,0.02,0.79,0.686666666666667,9059
0.03,0.03,0.79,0.686666666666667,9059
0.03,0.04,0.79,0.686666666666667,9059
0.03,0.05,0.79,0.686666666666667,9059
0.03,0.06,0.79,0.686666666666667,9059
0.03,0.07,0.79,0.686666666666667,9059
0.03,0.08,0.79,0.686666666666667,9059
0.03,0.09,0.79,0.686666666666667,9059
0.03,0.1,0.79,0.686666666666667,9059
0.04,0.01,0.771428571428571,0.686666666666667,6043
0.04,0.02,0.771428571428571,0.686666666666667,6043
0.04,0.03,0.771428571428571,0.686666666666667,6043
0.04,0.04,0.771428571428571,0.686666666666667,6043
0.04,0.05,0.771428571428571,0.686666666666667,6043
0.04,0.06,0.771428571428571,0.686666666666667,6043
0.04,0.07,0.771428571428571,0.686666666666667,6043
0.04,0.08,0.771428571428571,0.686666666666667,6043
0.04,0.09,0.771428571428571,0.686666666666667,6043
0.04,0.1,0.771428571428571,0.686666666666667,6043
0.05,0.01,0.751428571428571,0.68,4340
0.05,0.02,0.751428571428571,0.68,4340
0.05,0.03,0.751428571428571,0.68,4340
0.05,0.04,0.751428571428571,0.68,4340
0.05,0.05,0.751428571428571,0.68,4340
0.05,0.06,0.751428571428571,0.68,4340
0.05,0.07,0.751428571428571,0.68,4340
0.05,0.08,0.751428571428571,0.68,4340
0.05,0.09,0.751428571428571,0.68,4340
0.05,0.1,0.751428571428571,0.68,4340
0.06,0.01,0.747142857142857,0.68,3222
0.06,0.02,0.747142857142857,0.68,3222
0.06,0.03,0.747142857142857,0.68,3222
0.06,0.04,0.747142857142857,0.68,3222
0.06,0.05,0.747142857142857,0.68,3222
0.06,0.06,0.747142857142857,0.68,3222
0.06,0.07,0.747142857142857,0.68,3222
0.06,0.08,0.747142857142857,0.68,3222
0.06,0.09,0.747142857142857,0.68,3222
0.06,0.1,0.747142857142857,0.68,3222
0.07,0.01,0.747142857142857,0.673333333333333,2495
0.07,0.02,0.747142857142857,0.673333333333333,2495
0.07,0.03,0.747142857142857,0.673333333333333,2495
0.07,0.04,0.744285714285714,0.673333333333333,2495
0.07,0.05,0.744285714285714,0.673333333333333,2495
0.07,0.06,0.747142857142857,0.673333333333333,2495
0.07,0.07,0.75,0.673333333333333,2495
0.07,0.08,0.747142857142857,0.673333333333333,2495
0.07,0.09,0.747142857142857,0.673333333333333,2495
0.07,0.1,0.75,0.673333333333333,2495
0.08,0.01,0.734285714285714,0.666666666666667,1994
0.08,0.02,0.734285714285714,0.666666666666667,1994
0.08,0.03,0.734285714285714,0.666666666666667,1994
0.08,0.04,0.734285714285714,0.666666666666667,1994
0.08,0.05,0.734285714285714,0.666666666666667,1994
0.08,0.06,0.734285714285714,0.666666666666667,1994
0.08,0.07,0.735714285714286,0.666666666666667,1994
0.08,0.08,0.734285714285714,0.666666666666667,1994
0.08,0.09,0.732857142857143,0.666666666666667,1994
0.08,0.1,0.735714285714286,0.666666666666667,1994
0.09,0.01,0.735714285714286,0.663333333333333,1602
0.09,0.02,0.735714285714286,0.663333333333333,1602
0.09,0.03,0.735714285714286,0.663333333333333,1602
0.09,0.04,0.735714285714286,0.663333333333333,1602
0.09,0.05,0.738571428571429,0.663333333333333,1602
0.09,0.06,0.735714285714286,0.663333333333333,1602
0.09,0.07,0.735714285714286,0.663333333333333,1602
0.09,0.08,0.735714285714286,0.663333333333333,1602
0.09,0.09,0.735714285714286,0.663333333333333,1602
0.09,0.1,0.735714285714286,0.663333333333333,1602
0.1,0.01,0.722857142857143,0.67,1311
0.1,0.02,0.722857142857143,0.67,1311
0.1,0.03,0.722857142857143,0.67,1311
0.1,0.04,0.722857142857143,0.67,1311
0.1,0.05,0.722857142857143,0.67,1311
0.1,0.06,0.722857142857143,0.67,1311
0.1,0.07,0.722857142857143,0.67,1311
0.1,0.08,0.722857142857143,0.67,1311
0.1,0.09,0.728571428571429,0.67,1311
0.1,0.1,0.722857142857143,0.67,1311
