"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.832857142857143,0.703333333333333,30029
0.01,0.02,0.832857142857143,0.703333333333333,30029
0.01,0.03,0.832857142857143,0.703333333333333,30029
0.01,0.04,0.832857142857143,0.703333333333333,30029
0.01,0.05,0.832857142857143,0.703333333333333,30029
0.01,0.06,0.832857142857143,0.703333333333333,30029
0.01,0.07,0.832857142857143,0.703333333333333,30029
0.01,0.08,0.832857142857143,0.703333333333333,30029
0.01,0.09,0.832857142857143,0.703333333333333,30029
0.01,0.1,0.832857142857143,0.703333333333333,30029
0.02,0.01,0.792857142857143,0.7,14002
0.02,0.02,0.792857142857143,0.7,14002
0.02,0.03,0.792857142857143,0.7,14002
0.02,0.04,0.792857142857143,0.7,14002
0.02,0.05,0.792857142857143,0.7,14002
0.02,0.06,0.792857142857143,0.7,14002
0.02,0.07,0.792857142857143,0.7,14002
0.02,0.08,0.792857142857143,0.7,14002
0.02,0.09,0.792857142857143,0.7,14002
0.02,0.1,0.792857142857143,0.7,14002
0.03,0.01,0.782857142857143,0.686666666666667,8373
0.03,0.02,0.782857142857143,0.686666666666667,8373
0.03,0.03,0.782857142857143,0.686666666666667,8373
0.03,0.04,0.782857142857143,0.686666666666667,8373
0.03,0.05,0.78,0.686666666666667,8373
0.03,0.06,0.782857142857143,0.686666666666667,8373
0.03,0.07,0.782857142857143,0.686666666666667,8373
0.03,0.08,0.782857142857143,0.686666666666667,8373
0.03,0.09,0.782857142857143,0.686666666666667,8373
0.03,0.1,0.782857142857143,0.686666666666667,8373
0.04,0.01,0.755714285714286,0.686666666666667,5563
0.04,0.02,0.755714285714286,0.686666666666667,5563
0.04,0.03,0.755714285714286,0.686666666666667,5563
0.04,0.04,0.755714285714286,0.686666666666667,5563
0.04,0.05,0.755714285714286,0.686666666666667,5563
0.04,0.06,0.755714285714286,0.686666666666667,5563
0.04,0.07,0.755714285714286,0.686666666666667,5563
0.04,0.08,0.755714285714286,0.686666666666667,5563
0.04,0.09,0.755714285714286,0.686666666666667,5563
0.04,0.1,0.755714285714286,0.686666666666667,5563
0.05,0.01,0.738571428571429,0.676666666666667,3997
0.05,0.02,0.738571428571429,0.676666666666667,3997
0.05,0.03,0.738571428571429,0.676666666666667,3997
0.05,0.04,0.738571428571429,0.676666666666667,3997
0.05,0.05,0.738571428571429,0.676666666666667,3997
0.05,0.06,0.74,0.676666666666667,3997
0.05,0.07,0.738571428571429,0.676666666666667,3997
0.05,0.08,0.738571428571429,0.676666666666667,3997
0.05,0.09,0.738571428571429,0.676666666666667,3997
0.05,0.1,0.738571428571429,0.676666666666667,3997
0.06,0.01,0.732857142857143,0.673333333333333,2982
0.06,0.02,0.732857142857143,0.673333333333333,2982
0.06,0.03,0.732857142857143,0.673333333333333,2982
0.06,0.04,0.732857142857143,0.673333333333333,2982
0.06,0.05,0.732857142857143,0.673333333333333,2982
0.06,0.06,0.732857142857143,0.673333333333333,2982
0.06,0.07,0.732857142857143,0.673333333333333,2982
0.06,0.08,0.732857142857143,0.673333333333333,2982
0.06,0.09,0.732857142857143,0.673333333333333,2982
0.06,0.1,0.732857142857143,0.673333333333333,2982
0.07,0.01,0.725714285714286,0.68,2317
0.07,0.02,0.721428571428571,0.68,2317
0.07,0.03,0.721428571428571,0.68,2317
0.07,0.04,0.721428571428571,0.68,2317
0.07,0.05,0.721428571428571,0.68,2317
0.07,0.06,0.721428571428571,0.68,2317
0.07,0.07,0.725714285714286,0.68,2317
0.07,0.08,0.721428571428571,0.68,2317
0.07,0.09,0.721428571428571,0.68,2317
0.07,0.1,0.721428571428571,0.68,2317
0.08,0.01,0.725714285714286,0.683333333333333,1871
0.08,0.02,0.725714285714286,0.683333333333333,1871
0.08,0.03,0.725714285714286,0.683333333333333,1871
0.08,0.04,0.727142857142857,0.683333333333333,1871
0.08,0.05,0.724285714285714,0.683333333333333,1871
0.08,0.06,0.724285714285714,0.683333333333333,1871
0.08,0.07,0.725714285714286,0.683333333333333,1871
0.08,0.08,0.725714285714286,0.683333333333333,1871
0.08,0.09,0.725714285714286,0.683333333333333,1871
0.08,0.1,0.725714285714286,0.683333333333333,1871
0.09,0.01,0.725714285714286,0.676666666666667,1520
0.09,0.02,0.727142857142857,0.676666666666667,1520
0.09,0.03,0.722857142857143,0.676666666666667,1520
0.09,0.04,0.725714285714286,0.676666666666667,1520
0.09,0.05,0.725714285714286,0.676666666666667,1520
0.09,0.06,0.722857142857143,0.676666666666667,1520
0.09,0.07,0.725714285714286,0.676666666666667,1520
0.09,0.08,0.725714285714286,0.676666666666667,1520
0.09,0.09,0.725714285714286,0.676666666666667,1520
0.09,0.1,0.722857142857143,0.676666666666667,1520
0.1,0.01,0.717142857142857,0.676666666666667,1249
0.1,0.02,0.717142857142857,0.676666666666667,1249
0.1,0.03,0.72,0.676666666666667,1249
0.1,0.04,0.717142857142857,0.676666666666667,1249
0.1,0.05,0.717142857142857,0.676666666666667,1249
0.1,0.06,0.717142857142857,0.676666666666667,1249
0.1,0.07,0.717142857142857,0.676666666666667,1249
0.1,0.08,0.717142857142857,0.676666666666667,1249
0.1,0.09,0.717142857142857,0.676666666666667,1249
0.1,0.1,0.717142857142857,0.676666666666667,1249
