"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.828571428571429,0.713333333333333,30058
0.01,0.02,0.828571428571429,0.713333333333333,30058
0.01,0.03,0.828571428571429,0.713333333333333,30058
0.01,0.04,0.828571428571429,0.713333333333333,30058
0.01,0.05,0.828571428571429,0.713333333333333,30058
0.01,0.06,0.828571428571429,0.713333333333333,30058
0.01,0.07,0.828571428571429,0.713333333333333,30058
0.01,0.08,0.828571428571429,0.713333333333333,30058
0.01,0.09,0.828571428571429,0.713333333333333,30058
0.01,0.1,0.828571428571429,0.713333333333333,30058
0.02,0.01,0.802857142857143,0.716666666666667,16895
0.02,0.02,0.802857142857143,0.716666666666667,16895
0.02,0.03,0.802857142857143,0.716666666666667,16895
0.02,0.04,0.802857142857143,0.716666666666667,16895
0.02,0.05,0.802857142857143,0.716666666666667,16895
0.02,0.06,0.802857142857143,0.716666666666667,16895
0.02,0.07,0.802857142857143,0.716666666666667,16895
0.02,0.08,0.802857142857143,0.716666666666667,16895
0.02,0.09,0.805714285714286,0.716666666666667,16895
0.02,0.1,0.805714285714286,0.716666666666667,16895
0.03,0.01,0.78,0.723333333333333,11282
0.03,0.02,0.782857142857143,0.723333333333333,11282
0.03,0.03,0.78,0.723333333333333,11282
0.03,0.04,0.78,0.723333333333333,11282
0.03,0.05,0.782857142857143,0.723333333333333,11282
0.03,0.06,0.782857142857143,0.723333333333333,11282
0.03,0.07,0.78,0.723333333333333,11282
0.03,0.08,0.78,0.723333333333333,11282
0.03,0.09,0.78,0.723333333333333,11282
0.03,0.1,0.78,0.723333333333333,11282
0.04,0.01,0.77,0.71,8027
0.04,0.02,0.77,0.71,8027
0.04,0.03,0.77,0.71,8027
0.04,0.04,0.77,0.71,8027
0.04,0.05,0.77,0.71,8027
0.04,0.06,0.77,0.71,8027
0.04,0.07,0.77,0.71,8027
0.04,0.08,0.77,0.71,8027
0.04,0.09,0.77,0.71,8027
0.04,0.1,0.771428571428571,0.71,8027
0.05,0.01,0.761428571428571,0.71,5980
0.05,0.02,0.761428571428571,0.71,5980
0.05,0.03,0.761428571428571,0.71,5980
0.05,0.04,0.761428571428571,0.71,5980
0.05,0.05,0.761428571428571,0.71,5980
0.05,0.06,0.761428571428571,0.71,5980
0.05,0.07,0.761428571428571,0.71,5980
0.05,0.08,0.761428571428571,0.71,5980
0.05,0.09,0.761428571428571,0.71,5980
0.05,0.1,0.761428571428571,0.71,5980
0.06,0.01,0.758571428571429,0.703333333333333,4616
0.06,0.02,0.758571428571429,0.703333333333333,4616
0.06,0.03,0.758571428571429,0.703333333333333,4616
0.06,0.04,0.758571428571429,0.703333333333333,4616
0.06,0.05,0.758571428571429,0.703333333333333,4616
0.06,0.06,0.758571428571429,0.703333333333333,4616
0.06,0.07,0.758571428571429,0.703333333333333,4616
0.06,0.08,0.758571428571429,0.703333333333333,4616
0.06,0.09,0.758571428571429,0.703333333333333,4616
0.06,0.1,0.758571428571429,0.703333333333333,4616
0.07,0.01,0.752857142857143,0.706666666666667,3621
0.07,0.02,0.752857142857143,0.706666666666667,3621
0.07,0.03,0.752857142857143,0.706666666666667,3621
0.07,0.04,0.752857142857143,0.706666666666667,3621
0.07,0.05,0.752857142857143,0.706666666666667,3621
0.07,0.06,0.752857142857143,0.706666666666667,3621
0.07,0.07,0.752857142857143,0.706666666666667,3621
0.07,0.08,0.752857142857143,0.706666666666667,3621
0.07,0.09,0.752857142857143,0.706666666666667,3621
0.07,0.1,0.752857142857143,0.706666666666667,3621
0.08,0.01,0.747142857142857,0.716666666666667,2897
0.08,0.02,0.747142857142857,0.716666666666667,2897
0.08,0.03,0.747142857142857,0.716666666666667,2897
0.08,0.04,0.747142857142857,0.716666666666667,2897
0.08,0.05,0.747142857142857,0.716666666666667,2897
0.08,0.06,0.747142857142857,0.716666666666667,2897
0.08,0.07,0.747142857142857,0.716666666666667,2897
0.08,0.08,0.747142857142857,0.716666666666667,2897
0.08,0.09,0.747142857142857,0.716666666666667,2897
0.08,0.1,0.747142857142857,0.716666666666667,2897
0.09,0.01,0.742857142857143,0.716666666666667,2377
0.09,0.02,0.742857142857143,0.716666666666667,2377
0.09,0.03,0.742857142857143,0.716666666666667,2377
0.09,0.04,0.742857142857143,0.716666666666667,2377
0.09,0.05,0.742857142857143,0.716666666666667,2377
0.09,0.06,0.742857142857143,0.716666666666667,2377
0.09,0.07,0.742857142857143,0.716666666666667,2377
0.09,0.08,0.742857142857143,0.716666666666667,2377
0.09,0.09,0.742857142857143,0.716666666666667,2377
0.09,0.1,0.742857142857143,0.716666666666667,2377
0.1,0.01,0.741428571428571,0.72,1971
0.1,0.02,0.741428571428571,0.72,1971
0.1,0.03,0.741428571428571,0.72,1971
0.1,0.04,0.741428571428571,0.72,1971
0.1,0.05,0.742857142857143,0.72,1971
0.1,0.06,0.741428571428571,0.72,1971
0.1,0.07,0.741428571428571,0.72,1971
0.1,0.08,0.741428571428571,0.72,1971
0.1,0.09,0.742857142857143,0.72,1971
0.1,0.1,0.741428571428571,0.72,1971
